# ID, Code, Pattern (signed -1/0/+1), Form
91, 197, (-1,-1,-1,1,0,-1,1,1), footslope
92, 203, (-1,-1,-1,1,0,0,0,1), footslope
93, 206, (-1,-1,-1,1,0,0,1,1), slope
94, 212, (-1,-1,-1,1,0,1,0,1), slope
95, 215, (-1,-1,-1,1,0,1,1,1), shoulder
96, 224, (-1,-1,-1,1,1,-1,1,1), slope
97, 233, (-1,-1,-1,1,1,0,1,1), shoulder
98, 242, (-1,-1,-1,1,1,1,1,1), shoulder
99, 253, (-1,-1,0,-1,-1,0,-1,0), valley
100, 254, (-1,-1,0,-1,-1,0,-1,1), footslope
101, 256, (-1,-1,0,-1,-1,0,0,0), footslope
102, 257, (-1,-1,0,-1,-1,0,0,1), footslope
103, 259, (-1,-1,0,-1,-1,0,1,0), footslope
104, 260, (-1,-1,0,-1,-1,0,1,1), footslope
105, 263, (-1,-1,0,-1,-1,1,-1,1), footslope
106, 266, (-1,-1,0,-1,-1,1,0,1), footslope
107, 269, (-1,-1,0,-1,-1,1,1,1), footslope
108, 272, (-1,-1,0,-1,0,-1,-1,1), footslope
109, 274, (-1,-1,0,-1,0,-1,0,0), footslope
110, 275, (-1,-1,0,-1,0,-1,0,1), footslope
111, 277, (-1,-1,0,-1,0,-1,1,0), footslope
112, 278, (-1,-1,0,-1,0,-1,1,1), footslope
113, 280, (-1,-1,0,-1,0,0,-1,0), footslope
114, 281, (-1,-1,0,-1,0,0,-1,1), footslope
115, 283, (-1,-1,0,-1,0,0,0,0), footslope
116, 284, (-1,-1,0,-1,0,0,0,1), footslope
117, 286, (-1,-1,0,-1,0,0,1,0), footslope
118, 287, (-1,-1,0,-1,0,0,1,1), footslope
119, 289, (-1,-1,0,-1,0,1,-1,0), footslope
120, 290, (-1,-1,0,-1,0,1,-1,1), footslope
121, 292, (-1,-1,0,-1,0,1,0,0), footslope
122, 293, (-1,-1,0,-1,0,1,0,1), footslope
123, 295, (-1,-1,0,-1,0,1,1,0), footslope
124, 296, (-1,-1,0,-1,0,1,1,1), slope
125, 299, (-1,-1,0,-1,1,-1,-1,1), footslope
126, 301, (-1,-1,0,-1,1,-1,0,0), footslope
127, 302, (-1,-1,0,-1,1,-1,0,1), footslope
128, 304, (-1,-1,0,-1,1,-1,1,0), footslope
129, 305, (-1,-1,0,-1,1,-1,1,1), footslope
130, 308, (-1,-1,0,-1,1,0,-1,1), footslope
131, 310, (-1,-1,0,-1,1,0,0,0), footslope
132, 311, (-1,-1,0,-1,1,0,0,1), footslope
133, 313, (-1,-1,0,-1,1,0,1,0), footslope
134, 314, (-1,-1,0,-1,1,0,1,1), slope
135, 316, (-1,-1,0,-1,1,1,-1,0), footslope
136, 317, (-1,-1,0,-1,1,1,-1,1), footslope
137, 319, (-1,-1,0,-1,1,1,0,0), footslope
138, 320, (-1,-1,0,-1,1,1,0,1), slope
139, 322, (-1,-1,0,-1,1,1,1,0), slope
140, 323, (-1,-1,0,-1,1,1,1,1), shoulder
141, 328, (-1,-1,0,0,-1,-1,0,0), footslope
142, 329, (-1,-1,0,0,-1,-1,0,1), footslope
143, 332, (-1,-1,0,0,-1,-1,1,1), footslope
144, 335, (-1,-1,0,0,-1,0,-1,1), footslope
145, 337, (-1,-1,0,0,-1,0,0,0), footslope
146, 338, (-1,-1,0,0,-1,0,0,1), footslope
147, 340, (-1,-1,0,0,-1,0,1,0), footslope
148, 341, (-1,-1,0,0,-1,0,1,1), footslope
149, 344, (-1,-1,0,0,-1,1,-1,1), footslope
150, 346, (-1,-1,0,0,-1,1,0,0), footslope
151, 347, (-1,-1,0,0,-1,1,0,1), footslope
152, 349, (-1,-1,0,0,-1,1,1,0), footslope
153, 350, (-1,-1,0,0,-1,1,1,1), slope
154, 353, (-1,-1,0,0,0,-1,-1,1), footslope
155, 356, (-1,-1,0,0,0,-1,0,1), footslope
156, 358, (-1,-1,0,0,0,-1,1,0), footslope
157, 359, (-1,-1,0,0,0,-1,1,1), footslope
158, 362, (-1,-1,0,0,0,0,-1,1), footslope
159, 364, (-1,-1,0,0,0,0,0,0), none
160, 365, (-1,-1,0,0,0,0,0,1), none
161, 367, (-1,-1,0,0,0,0,1,0), none
162, 368, (-1,-1,0,0,0,0,1,1), none
163, 371, (-1,-1,0,0,0,1,-1,1), footslope
164, 373, (-1,-1,0,0,0,1,0,0), none
165, 374, (-1,-1,0,0,0,1,0,1), none
166, 376, (-1,-1,0,0,0,1,1,0), none
167, 377, (-1,-1,0,0,0,1,1,1), shoulder
